GeographicCode,GeographicName,Province,Population_2011,Population_2006,PrivateDwellings_2011,LandArea_SqKm_2011,PopDensity_SqKm_2011,NatPopRank_2011,ProvPopRank_2011
3558063,Pays Plat 51,Ontario,75,79,36,2.1889,34.2638,4488,528
3560091,Peawanuck,Ontario,237,221,86,1.5179,156.1368,3860,474
3537001,Pelee,Ontario,171,287,377,41.7875,4.0921,4103,494
3526028,Pelham,Ontario,16598,16155,6382,126.4174,131.2952,247,91
3547064,Pembroke,Ontario,14360,13930,6594,14.3506,1000.655,275,105
3543072,Penetanguishene,Ontario,9111,9354,3923,25.565,356.3857,433,158
3549014,Perry,Ontario,2317,2010,1517,187.2486,12.3739,1210,295
3509021,Perth,Ontario,5840,5907,3131,12.2505,476.7152,628,213
3531030,Perth East,Ontario,12028,11986,4022,713.3882,16.8604,332,121
3531013,Perth South,Ontario,3993,4132,1456,393.0338,10.1594,825,247
3547076,Petawawa,Ontario,15988,14651,6354,164.6785,97.0861,255,96
3515014,Peterborough,Ontario,78698,75406,35698,63.7956,1233.596,70,32
3538019,Petrolia,Ontario,5528,5222,2223,12.6837,435.835,657,219
3518001,Pickering,Ontario,88721,87838,29875,231.5915,383.0926,58,27
3560049,Pickle Lake,Ontario,425,479,225,255.0815,1.6661,3214,433
3558060,Pic Mobert North,Ontario,193,137,65,1.7333,111.3483,4025,487
3558061,Pic Mobert South,Ontario,96,104,64,0.34,282.3529,4386,517
3558062,Pic River 50,Ontario,395,383,166,3.6468,108.3141,3318,440
3560077,Pikangikum 14,Ontario,,2100,,8.544,,,
3547037,Pikwakanagan (Golden Lake 39),Ontario,432,406,204,7.4478,58.0037,3205,432
3557019,Plummer Additional,Ontario,650,625,433,221.9748,2.9283,2668,399
3538035,Plympton-Wyoming,Ontario,7576,7506,3148,318.7637,23.7668,498,173
3538031,Point Edward,Ontario,2034,2019,1000,3.2661,622.7611,1311,306
3560067,Poplar Hill,Ontario,,457,,7.0165,,,
3526011,Port Colborne,Ontario,18424,18599,10083,121.968,151.056,221,85
3514020,Port Hope,Ontario,16214,16390,6870,279.0333,58.1078,251,95
3549060,Powassan,Ontario,3378,3309,1369,224.5855,15.041,935,262
3507008,Prescott,Ontario,4284,4180,2063,4.9508,865.3147,784,240
3557066,Prince,Ontario,1031,971,466,85.3102,12.0853,2036,353
3513020,Prince Edward County,Ontario,25258,25496,12397,1050.4516,24.0449,163,64
3523001,Puslinch,Ontario,7029,6689,2619,214.6112,32.7523,539,187
3512015,Quinte West,Ontario,43086,42697,18236,494.1537,87.1915,110,47
3559068,Rainy Lake 17A,Ontario,215,183,78,14.3004,15.0345,3944,479
3559069,Rainy Lake 17B,Ontario,5,5,2,10.1604,0.4921,4853,538
3559061,Rainy Lake 18C,Ontario,93,95,35,17.6426,5.2713,4399,518
3559064,Rainy Lake 26A,Ontario,159,128,48,23.7693,6.6893,4144,499
3559042,Rainy River,Ontario,842,909,457,2.9916,281.4547,2306,375
3559090,"Rainy River, Unorganized",Ontario,1159,1431,1523,12256.155,0.0946,1887,343
3543019,Ramara,Ontario,9275,9427,5904,419.2508,22.1228,428,154
3557075,Rankin Location 15D,Ontario,,566,,15.6593,,,
3560069,Rat Portage 38A,Ontario,362,316,263,29.8423,12.1304,3423,452
3560042,Red Lake,Ontario,4366,4526,1971,610.3766,7.153,774,238
3558041,Red Rock,Ontario,942,1063,472,62.9335,14.9682,2160,362
3547048,Renfrew,Ontario,8218,7846,3980,12.7709,643.4942,466,165
3519038,Richmond Hill,Ontario,185541,162704,60169,100.9451,1838.0387,26,11
3507040,Rideau Lakes,Ontario,10207,10350,6258,729.0916,13.9996,395,143
3558069,Rocky Bay 1,Ontario,182,154,83,0.4121,441.6404,4063,493
3502048,Russell,Ontario,15247,13883,5345,199.057,76.5962,265,102
3549024,Ryerson,Ontario,634,686,530,188.0684,3.3711,2705,403
3560063,Sabaskong Bay 35D,Ontario,387,390,125,4.9988,77.4186,3338,445
3559048,Sabaskong Bay (Part) 35C,Ontario,0,0,0,2.9559,0,4932,539
3560007,Sabaskong Bay (Part) 35C,Ontario,0,0,0,5.3731,0,4932,539
3552023,Sables-Spanish Rivers,Ontario,3075,3237,1625,815.8028,3.7693,989,268
3560076,Sachigo Lake 1,Ontario,,450,,38.1004,,,
3557071,Sagamok,Ontario,1036,884,391,98.7223,10.4941,2031,352
3560071,Sandy Lake 88,Ontario,1861,1843,513,45.6881,40.7327,1400,312
3538030,Sarnia,Ontario,72366,71419,33010,164.7114,439.3503,75,35
3538025,Sarnia 45,Ontario,640,706,254,12.5732,50.9019,2694,400
3559053,Saug-a-Gaw-Sing 1,Ontario,119,101,45,0.6554,181.5685,4287,510
